"","Stratum","Species","Years","Density Trend","Density f","Density 95% CI","Occupancy Trend","Occupancy f","Occupancy 95% CI"
"4213","CO-BCR16-SA: San Juan National Forest","Cedar Waxwing","2008-2024",4.97,"0.761","(-8.31, 20.48)",1.06,"0.553","(-11.21, 14.85)"
"4214","CO-BCR16-SA: San Juan National Forest","Chipping Sparrow","2008-2024",-0.46,"0.58","(-5.87, 4.59)",-0.69,"0.59125","(-5.35, 4.6)"
"4215","CO-BCR16-SA: San Juan National Forest","Clark's Nutcracker","2008-2024",-3.91,"0.849","(-11.18, 3.75)",-1.98,"0.685","(-9.57, 6.21)"
"4216","CO-BCR16-SA: San Juan National Forest","Cliff Swallow","2008-2024",4.77,"0.73875","(-9.4, 22.84)",1.72,"0.608","(-9.59, 17.63)"
"4217","CO-BCR16-SA: San Juan National Forest","Common Grackle","2008-2024",6.61,"0.764","(-10.77, 27.66)",6.61,"0.79375","(-9.15, 25.64)"
"4218","CO-BCR16-SA: San Juan National Forest","Common Nighthawk","2008-2024",12.76,"0.995","(2.56, 26.06)",9.17,"0.981","(0.37, 19.89)"
"4219","CO-BCR16-SA: San Juan National Forest","Common Poorwill","2008-2024",7.5,"0.885","(-5.48, 23.15)",1.69,"0.635","(-9.36, 14.22)"
"4220","CO-BCR16-SA: San Juan National Forest","Common Raven","2008-2024",3.61,"0.914166666666667","(-1.38, 8.8)",-0.64,"0.5595","(-8.48, 7.33)"
"4221","CO-BCR16-SA: San Juan National Forest","Cooper's Hawk","2008-2024",0.38,"0.554","(-7.92, 8.58)",-1.8,"0.67","(-9.7, 6.87)"
"4222","CO-BCR16-SA: San Juan National Forest","Dark-eyed Junco","2008-2024",-0.14,"0.541","(-3.12, 3.01)",-0.24,"0.55","(-4.67, 4.45)"
"4223","CO-BCR16-SA: San Juan National Forest","Downy Woodpecker","2008-2024",2.07,"0.626","(-9.3, 15.12)",0.61,"0.541","(-9.62, 14.43)"
"4224","CO-BCR16-SA: San Juan National Forest","Dusky Flycatcher","2008-2024",4.43,"0.853333333333333","(-3.89, 12.7)",4.43,"0.8625","(-3.18, 12.61)"
"4225","CO-BCR16-SA: San Juan National Forest","Dusky Grouse","2008-2024",3.32,"0.722","(-6.78, 15.03)",2.1,"0.65","(-9.57, 14.88)"
"4226","CO-BCR16-SA: San Juan National Forest","Eurasian Collared-Dove","2008-2024",18.57,"0.986","(1.82, 42.35)",4.57,"0.728","(-9.58, 22.73)"
"4227","CO-BCR16-SA: San Juan National Forest","Evening Grosbeak","2008-2024",16.08,"1","(6.81, 29.25)",14.99,"0.997","(4.77, 26.52)"
"4228","CO-BCR16-SA: San Juan National Forest","Fox Sparrow","2008-2024",6.78,"0.803125","(-9.32, 25.82)",1.6,"0.583","(-13.02, 18.76)"
"4229","CO-BCR16-SA: San Juan National Forest","Golden Eagle","2008-2024",-0.02,"0.501","(-10.44, 13.81)",0.56,"0.543","(-9.71, 13.06)"
"4230","CO-BCR16-SA: San Juan National Forest","Golden-crowned Kinglet","2008-2024",3.76,"0.73125","(-8.3, 18.63)",7.34,"0.87","(-5.75, 21.94)"
"4231","CO-BCR16-SA: San Juan National Forest","Grace's Warbler","2008-2024",9.8,"0.87","(-6.23, 29.56)",3.24,"0.655","(-10.55, 21.72)"
"4232","CO-BCR16-SA: San Juan National Forest","Gray Catbird","2008-2024",7.15,"0.83","(-6.52, 23.97)",3.32,"0.691","(-10.67, 20.02)"
"4233","CO-BCR16-SA: San Juan National Forest","Gray Flycatcher","2008-2024",17.35,"0.983","(1.34, 43.89)",11.09,"0.93125","(-2.89, 30.34)"
"4234","CO-BCR16-SA: San Juan National Forest","Gray Vireo","2008-2024",6.94,"0.82875","(-7.07, 23.14)",0.09,"0.504","(-11.17, 17.46)"
"4235","CO-BCR16-SA: San Juan National Forest","Great Blue Heron","2008-2024",6.52,"0.818","(-6.98, 23.08)",2.23,"0.621875","(-9.37, 17.98)"
"4236","CO-BCR16-SA: San Juan National Forest","Great Horned Owl","2008-2024",6.64,"0.88","(-4.09, 18.6)",-1.46,"0.623","(-11.65, 11.87)"
"4237","CO-BCR16-SA: San Juan National Forest","Green-tailed Towhee","2008-2024",8.74,"0.9945","(1.72, 15.72)",8.23,"0.996","(2.16, 14.4)"
"4238","CO-BCR16-SA: San Juan National Forest","Hairy Woodpecker","2008-2024",2.91,"0.766","(-4.81, 10.75)",1.31,"0.633333333333333","(-5.5, 9.32)"
"4239","CO-BCR16-SA: San Juan National Forest","Hammond's Flycatcher","2008-2024",7.86,"0.93","(-2.47, 19.09)",6.47,"0.925","(-2.28, 17.03)"
"4240","CO-BCR16-SA: San Juan National Forest","Hermit Thrush","2008-2024",1.03,"0.7025","(-2.66, 4.7)",1.54,"0.768","(-2.58, 5.45)"
"4241","CO-BCR16-SA: San Juan National Forest","Horned Lark","2008-2024",2.11,"0.61625","(-12.09, 18.33)",0.06,"0.5025","(-12.99, 14.62)"
"4242","CO-BCR16-SA: San Juan National Forest","House Finch","2008-2024",13.14,"0.933","(-3.56, 35.91)",5.86,"0.7765","(-7.89, 27.39)"
"4243","CO-BCR16-SA: San Juan National Forest","House Wren","2008-2024",8.47,"0.998125","(2.91, 15.29)",11.22,"1","(4.81, 17.88)"
"4244","CO-BCR16-SA: San Juan National Forest","Juniper Titmouse","2008-2024",7.15,"0.8425","(-7.38, 26.23)",-0.46,"0.521","(-13.2, 14.64)"
"4245","CO-BCR16-SA: San Juan National Forest","Lark Sparrow","2008-2024",-1.86,"0.60875","(-11.25, 10.3)",0.31,"0.523","(-9.4, 12.45)"
"4246","CO-BCR16-SA: San Juan National Forest","Lazuli Bunting","2008-2024",6.56,"0.802","(-7.62, 25.17)",0.15,"0.52","(-11.72, 16.34)"
"4247","CO-BCR16-SA: San Juan National Forest","Lesser Goldfinch","2008-2024",6.72,"0.771","(-8.82, 25.81)",0.48,"0.5275","(-10.61, 15.13)"
"4248","CO-BCR16-SA: San Juan National Forest","Lewis's Woodpecker","2008-2024",3.02,"0.6965","(-8.07, 17.19)",3.34,"0.741","(-6.87, 16.2)"
"4249","CO-BCR16-SA: San Juan National Forest","Lincoln's Sparrow","2008-2024",5.71,"0.9525","(-0.52, 12.44)",4.9,"0.94125","(-1.65, 11.75)"
"4250","CO-BCR16-SA: San Juan National Forest","MacGillivray's Warbler","2008-2024",12.06,"0.993333333333333","(2.45, 22.37)",7.95,"0.955","(-1.48, 17.8)"
"4251","CO-BCR16-SA: San Juan National Forest","Mallard","2008-2024",13.02,"0.971875","(-0.19, 30.82)",11.14,"0.958","(-1.09, 28.19)"
"4252","CO-BCR16-SA: San Juan National Forest","Mountain Bluebird","2008-2024",1.11,"0.61875","(-5.15, 9.44)",-3.28,"0.8325","(-10.13, 3.69)"
"4253","CO-BCR16-SA: San Juan National Forest","Mountain Chickadee","2008-2024",1.61,"0.891875","(-1.03, 4.58)",2.69,"0.956","(-0.58, 6.14)"
"4254","CO-BCR16-SA: San Juan National Forest","Mourning Dove","2008-2024",0.06,"0.505","(-7.45, 7.59)",2.56,"0.75","(-4.89, 10.89)"
"4255","CO-BCR16-SA: San Juan National Forest","Northern Flicker","2008-2024",4.69,"0.990833333333333","(0.64, 8.54)",1.89,"0.825833333333333","(-2.28, 6.1)"
"4256","CO-BCR16-SA: San Juan National Forest","Northern Mockingbird","2008-2024",10.9,"0.845","(-8.76, 38.29)",3.95,"0.67","(-13.23, 29.85)"
"4257","CO-BCR16-SA: San Juan National Forest","Northern Pygmy-Owl","2008-2024",3.72,"0.703","(-10.04, 20.47)",1.26,"0.576","(-13.37, 19.63)"
"4258","CO-BCR16-SA: San Juan National Forest","Olive-sided Flycatcher","2008-2024",6.95,"0.907","(-3.83, 18.93)",2.23,"0.627","(-9.58, 16.4)"
"4259","CO-BCR16-SA: San Juan National Forest","Orange-crowned Warbler","2008-2024",7.94,"0.946","(-1.68, 20.64)",6.03,"0.916","(-2.65, 15.73)"
"4260","CO-BCR16-SA: San Juan National Forest","Osprey","2008-2024",-3.74,"0.768","(-13.36, 7.26)",-4.54,"0.808","(-14.19, 5.76)"
"4261","CO-BCR16-SA: San Juan National Forest","Pika","2008-2024",45.71,"1","(26.53, 70.56)",30.43,"1","(15.27, 55.01)"
"4262","CO-BCR16-SA: San Juan National Forest","Pine Grosbeak","2008-2024",1.89,"0.673","(-5.92, 12.84)",2.96,"0.711","(-6.38, 14.9)"
"4263","CO-BCR16-SA: San Juan National Forest","Pine Siskin","2008-2024",-1.33,"0.76","(-5.03, 2.31)",-0.31,"0.565833333333333","(-3.9, 3.5)"
"4264","CO-BCR16-SA: San Juan National Forest","Pinyon Jay","2008-2024",10.23,"0.925","(-4.08, 28.43)",-1.35,"0.569","(-14.18, 13.32)"
"4265","CO-BCR16-SA: San Juan National Forest","Plumbeous Vireo","2008-2024",-2.05,"0.676","(-10.15, 6.78)",-3.36,"0.784","(-11.14, 5.32)"
"4266","CO-BCR16-SA: San Juan National Forest","Purple Martin","2008-2024",5.25,"0.79125","(-7.83, 20.86)",2.18,"0.6275","(-9.15, 15.8)"
"4267","CO-BCR16-SA: San Juan National Forest","Pygmy Nuthatch","2008-2024",3.16,"0.753333333333333","(-5.84, 13.09)",2.48,"0.716666666666667","(-5.97, 12.11)"
"4268","CO-BCR16-SA: San Juan National Forest","Red Crossbill","2008-2024",11.36,"0.998333333333333","(3.97, 21.92)",10.91,"1","(3.41, 20.03)"
"4269","CO-BCR16-SA: San Juan National Forest","Red-breasted Nuthatch","2008-2024",6.05,"0.985625","(0.82, 11.89)",7.88,"0.995","(2.19, 14.6)"
"4270","CO-BCR16-SA: San Juan National Forest","Red-naped Sapsucker","2008-2024",-5.47,"0.882","(-14.03, 2.92)",-6.55,"0.9495","(-14.63, 1.51)"
"4271","CO-BCR16-SA: San Juan National Forest","Red-tailed Hawk","2008-2024",4.2,"0.873333333333333","(-2.79, 13.36)",3.93,"0.885","(-2.21, 13.86)"
"4272","CO-BCR16-SA: San Juan National Forest","Red-winged Blackbird","2008-2024",-0.46,"0.52","(-16.4, 17.92)",-2.42,"0.632","(-15.75, 12.82)"
"4273","CO-BCR16-SA: San Juan National Forest","Rock Wren","2008-2024",4.15,"0.759166666666667","(-6.5, 16.08)",1.49,"0.605","(-8.31, 14.66)"
"4274","CO-BCR16-SA: San Juan National Forest","Ruby-crowned Kinglet","2008-2024",-0.14,"0.5285","(-3.49, 3.39)",-0.27,"0.5425","(-4.44, 3.64)"
"4275","CO-BCR16-SA: San Juan National Forest","Savannah Sparrow","2008-2024",-6.7,"0.79","(-21.04, 10.47)",-8.02,"0.845","(-21.6, 8.62)"
"4276","CO-BCR16-SA: San Juan National Forest","Say's Phoebe","2008-2024",-0.41,"0.533125","(-9.6, 8.7)",-3.38,"0.75","(-11.8, 6.09)"
"4277","CO-BCR16-SA: San Juan National Forest","Sharp-shinned Hawk","2008-2024",0.65,"0.546","(-11.5, 12.84)",0.87,"0.575","(-8.63, 14.63)"
"4278","CO-BCR16-SA: San Juan National Forest","Song Sparrow","2008-2024",3.49,"0.752","(-6.13, 15.24)",-3.68,"0.76","(-10.73, 6.83)"
"4279","CO-BCR16-SA: San Juan National Forest","Spotted Sandpiper","2008-2024",1.57,"0.594","(-11.79, 16.99)",-1.68,"0.6125","(-14.99, 12.1)"
"4280","CO-BCR16-SA: San Juan National Forest","Spotted Towhee","2008-2024",0.46,"0.52375","(-11.33, 14.4)",-3.45,"0.7425","(-13.57, 7.5)"
"4281","CO-BCR16-SA: San Juan National Forest","Squirrel, Abert's","2008-2024",-1.12,"0.574","(-13.11, 12.13)",-2.24,"0.6395","(-15.45, 10.41)"
"4282","CO-BCR16-SA: San Juan National Forest","Squirrel, Red","2008-2024",2.26,"0.825","(-2.7, 7.81)",2.34,"0.8025","(-2.88, 8.53)"
"4283","CO-BCR16-SA: San Juan National Forest","Steller's Jay","2008-2024",2.3,"0.818","(-2.56, 7.18)",2.49,"0.87","(-2.05, 7.14)"
"4284","CO-BCR16-SA: San Juan National Forest","Swainson's Hawk","2008-2024",2.87,"0.703125","(-7.05, 18.6)",-2.1,"0.6555","(-11.2, 12.64)"
"4285","CO-BCR16-SA: San Juan National Forest","Swainson's Thrush","2008-2024",1.54,"0.564166666666667","(-17.82, 20.95)",-4.96,"0.713333333333333","(-20.45, 14.12)"
"4286","CO-BCR16-SA: San Juan National Forest","Townsend's Solitaire","2008-2024",2.11,"0.730625","(-4.71, 9.81)",0.68,"0.578333333333333","(-6.31, 7.88)"
"4287","CO-BCR16-SA: San Juan National Forest","Tree Swallow","2008-2024",-8.79,"0.966","(-18.13, 1.03)",-9.78,"0.99","(-18.56, -1.01)"
"4288","CO-BCR16-SA: San Juan National Forest","Turkey Vulture","2008-2024",4.64,"0.8125","(-5.47, 15.2)",1.94,"0.679","(-6.03, 13.5)"
"4289","CO-BCR16-SA: San Juan National Forest","Vesper Sparrow","2008-2024",8.54,"0.901666666666667","(-3.89, 22.99)",4.87,"0.801666666666667","(-5.4, 18.83)"
"4290","CO-BCR16-SA: San Juan National Forest","Violet-green Swallow","2008-2024",4.12,"0.916666666666667","(-1.73, 9.95)",4.48,"0.939166666666667","(-0.88, 10.05)"
"4291","CO-BCR16-SA: San Juan National Forest","Virginia's Warbler","2008-2024",4.69,"0.813","(-6.42, 20.76)",1.34,"0.586","(-7.99, 14.25)"
"4292","CO-BCR16-SA: San Juan National Forest","Warbling Vireo","2008-2024",6.33,"0.9925","(1.4, 11.47)",7.86,"0.99875","(3.04, 13.3)"
"4293","CO-BCR16-SA: San Juan National Forest","Western Bluebird","2008-2024",-1.32,"0.604","(-12.26, 10.62)",-2.49,"0.66625","(-12.53, 8.6)"
"4294","CO-BCR16-SA: San Juan National Forest","Western Flycatcher","2008-2024",7.71,"0.999166666666667","(2.47, 13.67)",8.05,"0.995","(1.83, 14.85)"
"4295","CO-BCR16-SA: San Juan National Forest","Western Kingbird","2008-2024",2.14,"0.620833333333333","(-9.84, 18.17)",1.83,"0.615","(-10.38, 14.65)"
"4296","CO-BCR16-SA: San Juan National Forest","Western Meadowlark","2008-2024",1.14,"0.566666666666667","(-11.14, 16.12)",-1.71,"0.5975","(-14.19, 12.51)"
"4297","CO-BCR16-SA: San Juan National Forest","Western Tanager","2008-2024",5.24,"0.999166666666667","(1.6, 8.94)",6.72,"1","(2.64, 10.86)"
"4298","CO-BCR16-SA: San Juan National Forest","Western Wood-Pewee","2008-2024",4.8,"0.959375","(-0.55, 10.02)",3.54,"0.921","(-1.33, 8.45)"
"4299","CO-BCR16-SA: San Juan National Forest","White-breasted Nuthatch","2008-2024",-0.46,"0.5625","(-6.67, 5.53)",-2.31,"0.7425","(-9.03, 4.89)"
"4300","CO-BCR16-SA: San Juan National Forest","White-crowned Sparrow","2008-2024",0.08,"0.509375","(-7.33, 7.76)",-4.12,"0.894","(-10.55, 2.21)"
"4301","CO-BCR16-SA: San Juan National Forest","White-tailed Ptarmigan","2008-2024",-0.99,"0.555","(-16.62, 15.39)",-1.42,"0.591","(-15.69, 15.22)"
"4302","CO-BCR16-SA: San Juan National Forest","White-throated Swift","2008-2024",-1.5,"0.584","(-14.46, 13.87)",-4.45,"0.756","(-16.13, 8.65)"
"4303","CO-BCR16-SA: San Juan National Forest","Wild Turkey","2008-2024",5.98,"0.823","(-6.55, 20.39)",1.58,"0.614375","(-8.93, 13.64)"
"4304","CO-BCR16-SA: San Juan National Forest","Williamson's Sapsucker","2008-2024",11.24,"0.984","(1.71, 28.33)",8.55,"0.930833333333333","(-2.66, 23.46)"
"4305","CO-BCR16-SA: San Juan National Forest","Wilson's Warbler","2008-2024",-3.93,"0.773","(-15.2, 8.95)",-4.97,"0.859","(-15.5, 4.21)"
"4306","CO-BCR16-SA: San Juan National Forest","Woodhouse's Scrub-Jay","2008-2024",9.73,"0.914","(-3.26, 26.94)",5,"0.776","(-7.38, 20.48)"
"4307","CO-BCR16-SA: San Juan National Forest","Yellow Warbler","2008-2024",-2.41,"0.675","(-11.91, 8.83)",-6.62,"0.9145","(-15.46, 3.27)"
"4308","CO-BCR16-SA: San Juan National Forest","Yellow-breasted Chat","2008-2024",8.12,"0.781","(-11.49, 30.05)",1.05,"0.541","(-14.97, 23.22)"
"4309","CO-BCR16-SA: San Juan National Forest","Yellow-rumped Warbler","2008-2024",-2.21,"0.9115","(-5.43, 0.9)",-3.37,"0.947","(-7.19, 0.91)"
